txn_id,sender_id,receiver_id,amount,timestamp,is_fraud,fraud_pattern
TXN481219,ACC182627,ACC725380,28225,2024-01-01 01:29:00,0,none
TXN207629,ACC813536,ACC864544,2848,2024-01-01 02:57:00,0,none
TXN477496,ACC835392,ACC379786,26523,2024-01-01 03:25:00,0,none
TXN590737,ACC759176,ACC452944,20160,2024-01-01 06:10:00,0,none
TXN997728,ACC883300,ACC169403,9308,2024-01-01 12:36:00,0,none
TXN165442,ACC479580,ACC887352,3981,2024-01-01 14:44:00,0,none
TXN197716,ACC377746,ACC334053,40049,2024-01-01 20:58:00,0,none
TXN928226,ACC479580,ACC391369,42010,2024-01-01 23:49:00,0,none
TXN667851,ACC705397,ACC542666,22455,2024-01-02 01:33:00,0,none
TXN233606,ACC263032,ACC308496,38308,2024-01-02 05:20:00,0,none
TXN728635,ACC383060,ACC344098,9263,2024-01-02 11:46:00,0,none
TXN397252,ACC488162,ACC671412,32533,2024-01-02 12:27:00,0,none
TXN623502,ACC479580,ACC230889,5504,2024-01-02 14:04:00,0,none
TXN367508,ACC816751,ACC571029,15468,2024-01-02 20:53:00,0,none
TXN837246,ACC407757,ACC624902,24204,2024-01-03 02:05:00,0,none
TXN858414,ACC555884,ACC854639,17176,2024-01-03 04:41:00,0,none
TXN308218,ACC407757,ACC774079,14537,2024-01-03 07:53:00,0,none
TXN985049,ACC131244,ACC944151,15301,2024-01-03 09:48:00,0,none
TXN264592,ACC216739,ACC287330,19401,2024-01-03 10:19:00,0,none
TXN520320,ACC632342,ACC983794,12562,2024-01-03 14:55:00,0,none
TXN379378,ACC865179,ACC383060,26146,2024-01-03 16:43:00,0,none
TXN509593,ACC946335,ACC133659,3935,2024-01-04 09:32:00,0,none
TXN946934,ACC263032,ACC207175,11551,2024-01-04 12:26:00,0,none
TXN192292,ACC623481,ACC479580,35729,2024-01-04 14:21:00,0,none
TXN444511,ACC877572,ACC246413,7523,2024-01-04 18:04:00,0,none
TXN112800,ACC832052,ACC325772,33179,2024-01-05 04:29:00,0,none
TXN867101,ACC148050,ACC133659,12619,2024-01-05 14:20:00,0,none
TXN575779,ACC338968,ACC133659,5703,2024-01-05 18:52:00,0,none
TXN470040,ACC705397,ACC930555,32095,2024-01-05 19:18:00,0,none
TXN747847,ACC377746,ACC930555,1530,2024-01-05 19:33:00,0,none
TXN225701,ACC748564,ACC500156,40727,2024-01-05 19:45:00,0,none
TXN580102,ACC765822,ACC452944,20466,2024-01-05 22:16:00,0,none
TXN267003,ACC403445,ACC391369,5077,2024-01-06 00:17:00,0,none
TXN298202,ACC850800,ACC770487,8222,2024-01-06 05:43:00,0,none
TXN633447,ACC133326,ACC654816,1558,2024-01-06 06:48:00,0,none
TXN200617,ACC772097,ACC883300,35444,2024-01-06 08:06:00,0,none
TXN154567,ACC575435,ACC207175,39630,2024-01-06 20:18:00,0,none
TXN423668,ACC575435,ACC456699,24671,2024-01-06 21:14:00,0,none
TXN555844,ACC705397,ACC407757,38689,2024-01-06 21:53:00,0,none
TXN395023,ACC500156,ACC617488,19226,2024-01-06 22:54:00,0,none
TXN460589,ACC343962,ACC617488,35568,2024-01-07 01:21:00,0,none
TXN597126,ACC334053,ACC543143,39896,2024-01-07 03:54:00,0,none
TXN772741,ACC245051,ACC131244,35267,2024-01-07 04:06:00,0,none
TXN407835,ACC488162,ACC363626,31620,2024-01-07 09:51:00,0,none
TXN466709,ACC974628,ACC287330,23734,2024-01-07 10:54:00,0,none
TXN565367,ACC391369,ACC344098,29329,2024-01-07 11:01:00,0,none
TXN382154,ACC338968,ACC270555,1814,2024-01-07 11:30:00,0,none
TXN821179,ACC319684,ACC391476,20135,2024-01-07 15:36:00,0,none
TXN251857,ACC514850,ACC488162,13322,2024-01-07 15:36:00,0,none
TXN983472,ACC358607,ACC131244,10397,2024-01-07 15:45:00,0,none
TXN246659,ACC887352,ACC191161,26675,2024-01-07 17:48:00,0,none
TXN597440,ACC265840,ACC983794,41808,2024-01-07 18:36:00,0,none
TXN982885,ACC835392,ACC158655,24029,2024-01-07 23:28:00,0,none
TXN727356,ACC930555,ACC877572,37811,2024-01-07 23:48:00,0,none
TXN939030,ACC263032,ACC864544,23640,2024-01-08 01:55:00,0,none
TXN519758,ACC974628,ACC850800,24277,2024-01-08 04:52:00,0,none
TXN360380,ACC479580,ACC832052,6118,2024-01-08 12:21:00,0,none
TXN741185,ACC126225,ACC584714,4252,2024-01-08 13:53:00,0,none
TXN391595,ACC623481,ACC930555,17108,2024-01-08 14:16:00,0,none
TXN810638,ACC671412,ACC263032,36388,2024-01-08 16:51:00,0,none
TXN188693,ACC343962,ACC340174,32799,2024-01-08 18:54:00,0,none
TXN997343,ACC246316,ACC854639,2975,2024-01-08 19:38:00,0,none
TXN742818,ACC158655,ACC575435,35563,2024-01-08 20:27:00,0,none
TXN733521,ACC543143,ACC174870,11008,2024-01-08 21:55:00,0,none
TXN536754,ACC330283,ACC356702,43280,2024-01-09 07:49:00,0,none
TXN313660,ACC518801,ACC542417,29166,2024-01-09 09:38:00,0,none
TXN702597,ACC321231,ACC969693,30298,2024-01-09 10:31:00,0,none
TXN395536,ACC705397,ACC813536,27091,2024-01-09 15:48:00,0,none
TXN711561,ACC895667,ACC197251,38788,2024-01-09 18:52:00,0,none
TXN473818,ACC325772,ACC832052,37816,2024-01-09 21:13:00,0,none
TXN831295,ACC211579,ACC319684,7223,2024-01-09 22:21:00,0,none
TXN479264,ACC476417,ACC195325,43297,2024-01-09 23:38:00,0,none
TXN619344,ACC376183,ACC271339,37101,2024-01-10 01:06:00,0,none
TXN248140,ACC748564,ACC403445,5550,2024-01-10 02:03:00,0,none
TXN667759,ACC663054,ACC520651,37046,2024-01-10 03:37:00,0,none
TXN290425,ACC246316,ACC195325,25507,2024-01-10 04:28:00,0,none
TXN926394,ACC263032,ACC340174,4025,2024-01-10 10:35:00,0,none
TXN942658,ACC488162,ACC220116,32645,2024-01-10 10:37:00,0,none
TXN444406,ACC207473,ACC479580,17130,2024-01-10 11:05:00,0,none
TXN531512,ACC112038,ACC133659,42760,2024-01-10 14:51:00,0,none
TXN916711,ACC407757,ACC590785,1132,2024-01-10 19:00:00,0,none
TXN844261,ACC724834,ACC857168,36599,2024-01-10 22:58:00,0,none
TXN640028,ACC712982,ACC731262,27072,2024-01-11 02:55:00,0,none
TXN762902,ACC865179,ACC287330,24467,2024-01-11 03:47:00,0,none
TXN629435,ACC131244,ACC680099,38388,2024-01-11 04:23:00,0,none
TXN170015,ACC430776,ACC898975,23107,2024-01-11 06:55:00,0,none
TXN843764,ACC725380,ACC267753,34338,2024-01-11 07:39:00,0,none
TXN238976,ACC913694,ACC380746,17339,2024-01-11 08:12:00,0,none
TXN860123,ACC497887,ACC375504,37776,2024-01-11 08:21:00,0,none
TXN602681,ACC514850,ACC482554,20369,2024-01-12 03:58:00,0,none
TXN848719,ACC983794,ACC500156,14048,2024-01-12 08:30:00,0,none
TXN340500,ACC271339,ACC663054,31391,2024-01-12 12:59:00,0,none
TXN479021,ACC724834,ACC725380,21652,2024-01-12 14:21:00,0,none
TXN300444,ACC671858,ACC479580,24341,2024-01-12 18:57:00,0,none
TXN861594,ACC738720,ACC249811,39543,2024-01-12 20:54:00,0,none
TXN165858,ACC133326,ACC325772,39607,2024-01-12 23:13:00,0,none
TXN749641,ACC518801,ACC854639,28396,2024-01-13 00:00:00,1,mule_fanin
TXN443939,ACC287330,ACC854639,29991,2024-01-13 01:00:00,1,mule_fanin
TXN332120,ACC671858,ACC854639,12071,2024-01-13 02:00:00,1,mule_fanin
TXN766269,ACC230889,ACC854639,25213,2024-01-13 03:00:00,1,mule_fanin
TXN835132,ACC944151,ACC854639,19902,2024-01-13 04:00:00,1,mule_fanin
TXN658065,ACC340174,ACC864544,1276,2024-01-13 04:18:00,0,none
TXN780776,ACC731262,ACC854639,23379,2024-01-13 05:00:00,1,mule_fanin
TXN246566,ACC854639,ACC969693,10742,2024-01-13 07:00:00,1,mule_fanout
TXN573039,ACC813536,ACC498591,21235,2024-01-13 07:11:00,0,none
TXN139019,ACC854639,ACC913694,14986,2024-01-13 08:00:00,1,mule_fanout
TXN221761,ACC854639,ACC813536,11592,2024-01-13 09:00:00,1,mule_fanout
TXN346205,ACC854639,ACC663054,24536,2024-01-13 10:00:00,1,mule_fanout
TXN663658,ACC854639,ACC571029,12222,2024-01-13 11:00:00,1,mule_fanout
TXN655134,ACC380746,ACC883300,19288,2024-01-13 11:35:00,0,none
TXN575679,ACC854639,ACC403445,16078,2024-01-13 12:00:00,1,mule_fanout
TXN803055,ACC854639,ACC500156,22175,2024-01-13 13:00:00,1,mule_fanout
TXN824156,ACC520651,ACC319684,29871,2024-01-13 13:20:00,0,none
TXN159468,ACC133326,ACC793384,27364,2024-01-13 17:10:00,0,none
TXN287410,ACC126225,ACC629903,27832,2024-01-13 18:09:00,0,none
TXN370439,ACC520651,ACC330283,24958,2024-01-13 18:37:00,0,none
TXN992919,ACC377746,ACC131244,22461,2024-01-13 20:26:00,0,none
TXN431414,ACC330283,ACC325772,43319,2024-01-13 22:32:00,0,none
TXN806120,ACC765822,ACC440035,35520,2024-01-14 01:05:00,0,none
TXN777406,ACC719176,ACC214975,24212,2024-01-14 06:36:00,0,none
TXN675458,ACC377746,ACC245051,44295,2024-01-14 09:21:00,0,none
TXN288783,ACC774079,ACC813536,39779,2024-01-14 13:24:00,0,none
TXN385925,ACC850800,ACC338968,14074,2024-01-14 15:08:00,0,none
TXN175576,ACC854639,ACC814825,29088,2024-01-14 15:31:00,0,none
TXN136554,ACC172933,ACC195325,29721,2024-01-14 15:56:00,0,none
TXN792451,ACC632342,ACC331148,7570,2024-01-14 21:25:00,0,none
TXN886553,ACC623481,ACC772097,26936,2024-01-14 22:13:00,0,none
TXN874668,ACC133659,ACC930555,31399,2024-01-15 07:01:00,0,none
TXN743095,ACC383060,ACC334053,40146,2024-01-15 12:07:00,0,none
TXN291366,ACC407757,ACC974628,21307,2024-01-15 15:24:00,0,none
TXN651613,ACC182627,ACC321231,33767,2024-01-15 19:22:00,0,none
TXN888335,ACC207473,ACC407419,17393,2024-01-15 20:31:00,0,none
TXN642985,ACC377746,ACC133326,18190,2024-01-16 02:14:00,0,none
TXN127121,ACC518801,ACC356702,44690,2024-01-16 02:33:00,0,none
TXN752944,ACC705397,ACC379786,29088,2024-01-16 03:37:00,0,none
TXN122536,ACC216739,ACC230889,7131,2024-01-16 06:53:00,0,none
TXN279453,ACC584714,ACC969693,15994,2024-01-16 11:41:00,0,none
TXN809035,ACC207473,ACC793384,6119,2024-01-16 15:08:00,0,none
TXN596925,ACC705397,ACC191161,29588,2024-01-16 15:25:00,0,none
TXN308535,ACC174870,ACC832052,37245,2024-01-16 15:32:00,0,none
TXN790130,ACC731262,ACC498591,10084,2024-01-16 18:29:00,0,none
TXN257181,ACC632342,ACC112038,13460,2024-01-16 18:53:00,0,none
TXN557311,ACC131244,ACC377746,27959,2024-01-16 22:17:00,0,none
TXN339513,ACC898975,ACC334053,14340,2024-01-16 22:57:00,0,none
TXN851763,ACC216739,ACC759176,4403,2024-01-16 22:57:00,0,none
TXN499889,ACC629903,ACC126225,19848,2024-01-16 23:25:00,0,none
TXN380746,ACC584714,ACC329974,29903,2024-01-17 00:00:00,1,circular
TXN694731,ACC329974,ACC356702,30733,2024-01-17 00:11:00,1,circular
TXN429963,ACC356702,ACC584714,30053,2024-01-17 00:54:00,1,circular
TXN621281,ACC440035,ACC793384,11729,2024-01-17 02:29:00,0,none
TXN379570,ACC555884,ACC617488,39034,2024-01-17 04:36:00,0,none
TXN454180,ACC895667,ACC719176,26762,2024-01-17 07:10:00,0,none
TXN274544,ACC617488,ACC518801,24767,2024-01-17 13:03:00,0,none
TXN654531,ACC211579,ACC898975,727,2024-01-17 13:19:00,0,none
TXN596405,ACC575763,ACC158655,14360,2024-01-17 16:57:00,0,none
TXN648489,ACC380746,ACC246316,44932,2024-01-17 20:00:00,0,none
TXN449188,ACC694731,ACC429963,17235,2024-01-17 20:22:00,0,none
TXN922892,ACC759176,ACC719176,34077,2024-01-18 01:30:00,0,none
TXN794214,ACC127824,ACC126225,24976,2024-01-18 05:49:00,0,none
TXN642638,ACC498591,ACC671412,29531,2024-01-18 08:33:00,0,none
TXN299742,ACC759176,ACC705397,39420,2024-01-18 15:02:00,0,none
TXN801534,ACC946335,ACC905635,30599,2024-01-18 18:39:00,0,none
TXN871660,ACC913694,ACC407757,11353,2024-01-19 01:28:00,0,none
TXN947568,ACC671858,ACC770487,7477,2024-01-19 09:39:00,0,none
TXN166183,ACC267753,ACC207175,42593,2024-01-19 12:08:00,0,none
TXN248638,ACC263032,ACC876646,36553,2024-01-19 13:02:00,0,none
TXN408857,ACC391476,ACC881177,6856,2024-01-19 17:45:00,0,none
TXN666456,ACC195325,ACC543143,7704,2024-01-19 18:32:00,0,none
TXN933790,ACC207175,ACC680099,22757,2024-01-19 21:53:00,0,none
TXN418157,ACC356702,ACC555884,4127,2024-01-20 04:33:00,0,none
TXN530187,ACC391369,ACC802729,37128,2024-01-20 05:45:00,0,none
TXN970645,ACC131244,ACC325772,44940,2024-01-20 11:28:00,0,none
TXN720995,ACC182627,ACC671412,36551,2024-01-20 14:23:00,0,none
TXN646660,ACC575435,ACC724834,2034,2024-01-21 07:26:00,0,none
TXN772066,ACC263032,ACC379946,35515,2024-01-21 08:41:00,0,none
TXN903702,ACC249811,ACC759176,4525,2024-01-21 11:54:00,0,none
TXN354125,ACC391476,ACC738720,24185,2024-01-21 13:48:00,0,none
TXN117393,ACC832052,ACC974628,17982,2024-01-21 19:34:00,0,none
TXN886931,ACC391369,ACC308496,22546,2024-01-21 21:34:00,0,none
TXN538651,ACC671412,ACC338968,10064,2024-01-21 22:50:00,0,none
TXN491704,ACC765822,ACC759176,10577,2024-01-22 00:37:00,0,none
